*CCS_TECH,UNCONTROLLED_TECH
coal-CCS_mod,coal-new
coal-CCS_max,coal-new
coal-CCS-F1,coal-new
coal-CCS-F2,coal-new
coal-CCS-F3,coal-new
Gas-CC-CCS_mod,Gas-CC
Gas-CC-CCS_max,Gas-CC
gas-CC-CCS-F1,gas-CC
gas-CC-CCS-F2,gas-CC
gas-CC-CCS-F3,gas-CC
Coal-IGCC_coal-CCS_mod,coal-IGCC
coal-new_coal-CCS_mod,coal-new
CoalOldScr_coal-CCS_mod,CoalOldScr
CoalOldUns_coal-CCS_mod,CoalOldUns
CofireNew_coal-CCS_mod,CofireOld
CofireOld_coal-CCS_mod,CofireNew
Coal-IGCC_coal-CCS_max,coal-IGCC
coal-new_coal-CCS_max,coal-new
CoalOldScr_coal-CCS_max,CoalOldScr
CoalOldUns_coal-CCS_max,CoalOldUns
CofireNew_coal-CCS_max,CofireOld
CofireOld_coal-CCS_max,CofireNew
