t,none,ramp_2023_2035,ramp_2045,ramp_2050,
2010,1,1,1,1,
2011,1,1,1,1,
2012,1,1,1,1,
2013,1,1,1,1,
2014,1,1,1,1,
2015,1,1,1,1,
2016,1,1,1,1,
2017,1,1,1,1,
2018,1,1,1,1,
2019,1,1,1,1,
2020,1,1,1,1,
2021,1,1,1,1,
2022,1,1,1,1,
2023,1,1,1,1,
2024,1,1,1,1,
2025,1,1.92,1.21,1.08,
2026,1,2.08,1.25,1.10,
2027,1,2.28,1.29,1.13,
2028,1,2.54,1.33,1.15,
2029,1,2.89,1.38,1.18,
2030,1,3.38,1.44,1.21,
2031,1,4.12,1.51,1.25,
2032,1,5.35,1.59,1.29,
2033,1,7.81,1.68,1.33,
2034,1,15.21,1.79,1.38,
2035,1,100,1.92,1.44,
2036,1,100,2.08,1.51,
2037,1,100,2.28,1.59,
2038,1,100,2.54,1.68,
2039,1,100,2.89,1.79,
2040,1,100,3.38,1.92,
2041,1,100,4.12,2.08,
2042,1,100,5.35,2.28,
2043,1,100,7.81,2.54,
2044,1,100,15.21,2.89,
2045,1,100,100,3.38,
2046,1,100,100,4.12,
2047,1,100,100,5.35,
2048,1,100,100,7.81,
2049,1,100,100,15.21,
2050,1,100,100,100,
