*i,r,t
biopower,p118,2028
coal-CCS_mod,p118,2024
coal-IGCC,p118,2024
coal-new,p118,2024
CoalOldScr,p118,2024
CoalOldUns,p118,2024
gas-CC,p118,2045
gas-CT,p118,2045
o-g-s,p118,2045
biopower,p100,2028
coal-CCS_mod,p100,2024
coal-IGCC,p100,2024
coal-new,p100,2024
CoalOldScr,p100,2024
CoalOldUns,p100,2024
gas-CC,p100,2045
gas-CT,p100,2045
o-g-s,p100,2045
biopower,p99,2028
coal-CCS_mod,p99,2024
coal-IGCC,p99,2024
coal-new,p99,2024
CoalOldScr,p99,2024
CoalOldUns,p99,2024
gas-CC,p99,2045
gas-CT,p99,2045
o-g-s,p99,2045
biopower,p124,2028
coal-CCS_mod,p124,2024
coal-IGCC,p124,2024
coal-new,p124,2024
CoalOldScr,p124,2024
CoalOldUns,p124,2024
gas-CC,p124,2045
gas-CT,p124,2045
o-g-s,p124,2045
coal-CCS_mod,p80,2045
coal-IGCC,p80,2045
coal-new,p80,2045
CoalOldScr,p80,2045
CoalOldUns,p80,2045
gas-CC,p80,2045
gas-CT,p80,2045
o-g-s,p80,2045
coal-CCS_mod,p81,2045
coal-IGCC,p81,2045
coal-new,p81,2045
CoalOldScr,p81,2045
CoalOldUns,p81,2045
gas-CC,p81,2045
gas-CT,p81,2045
o-g-s,p81,2045
coal-CCS_mod,p82,2045
coal-IGCC,p82,2045
coal-new,p82,2045
CoalOldScr,p82,2045
CoalOldUns,p82,2045
gas-CC,p82,2045
gas-CT,p82,2045
o-g-s,p82,2045
coal-CCS_mod,p83,2045
coal-IGCC,p83,2045
coal-new,p83,2045
CoalOldScr,p83,2045
CoalOldUns,p83,2045
gas-CC,p83,2045
gas-CT,p83,2045
o-g-s,p83,2045
coal-CCS_mod,p127,2040
coal-IGCC,p127,2040
coal-new,p127,2040
CoalOldScr,p127,2040
CoalOldUns,p127,2040
gas-CC,p127,2040
gas-CT,p127,2040
o-g-s,p127,2040
coal-CCS_mod,p128,2040
coal-IGCC,p128,2040
coal-new,p128,2040
CoalOldScr,p128,2040
CoalOldUns,p128,2040
gas-CC,p128,2040
gas-CT,p128,2040
o-g-s,p128,2040
