i,CA,IL,MI,MN,MO,NY,WA
can-imports,,,,,,,1
distpv,1,,,,,,
egs_allkm_1,,1,,1,1,1,
egs_allkm_2,,1,,1,1,1,
egs_allkm_3,,1,,1,1,1,
egs_allkm_4,,1,,1,1,1,
egs_allkm_5,,1,,1,1,1,
egs_allkm_6,,1,,1,1,1,
egs_allkm_7,,1,,1,1,1,
egs_allkm_8,,1,,1,1,1,
egs_allkm_9,,1,,1,1,1,
egs_allkm_10,,1,,1,1,1,
egs_nearfield_1,,1,,1,1,1,
egs_nearfield_2,,1,,1,1,1,
egs_nearfield_3,,1,,1,1,1,
egs_nearfield_4,,1,,1,1,1,
egs_nearfield_5,,1,,1,1,1,
egs_nearfield_6,,1,,1,1,1,
egs_nearfield_7,,1,,1,1,1,
egs_nearfield_8,,1,,1,1,1,
egs_nearfield_9,,1,,1,1,1,
egs_nearfield_10,,1,,1,1,1,
geohydro_allkm_1,,1,,1,1,1,
geohydro_allkm_2,,1,,1,1,1,
geohydro_allkm_3,,1,,1,1,1,
geohydro_allkm_4,,1,,1,1,1,
geohydro_allkm_5,,1,,1,1,1,
geohydro_allkm_6,,1,,1,1,1,
geohydro_allkm_7,,1,,1,1,1,
geohydro_allkm_8,,1,,1,1,1,
geohydro_allkm_9,,1,,1,1,1,
geohydro_allkm_10,,1,,1,1,1,
pumped-hydro,,,1,,,,
pumped-hydro-flex,,,1,,,,
hydED_pumped-hydro,,,1,,,,
hydED_pumped-hydro-flex,,,1,,,,
