interface,transgrp,transgrpp,MW_f0,MW_r0,MW_f1,MW_r1
CAISO||NorthernGrid_South,CAISO,NorthernGrid_South,8875.389,8174.315,7249.602,6531.556
CAISO||NorthernGrid_West,CAISO,NorthernGrid_West,4800.0,4800.0,3098.96,3096.007
CAISO||WestConnect_South,CAISO,WestConnect_South,4909.801,4664.919,2574.985,2358.04
FRCC||SERTP,FRCC,SERTP,6662.265,6518.907,4061.683,3917.186
ISONE||NYISO,ISONE,NYISO,1258.89,1724.22,1195.0,1195.0
MISO_Central||MISO_North,MISO_Central,MISO_North,4442.663,5114.791,3560.663,3938.824
MISO_Central||MISO_South,MISO_Central,MISO_South,2088.0,2088.0,0.0,0.0
MISO_Central||PJM_East,MISO_Central,PJM_East,19143.075,18540.373,15256.055,14379.402
MISO_Central||PJM_West,MISO_Central,PJM_West,6927.058,21869.979,6659.606,19991.899
MISO_Central||SERTP,MISO_Central,SERTP,3117.502,1385.343,1385.056,729.909
MISO_Central||SPP_South,MISO_Central,SPP_South,1801.32,1826.0,849.73,870.0
MISO_North||PJM_West,MISO_North,PJM_West,3049.972,5070.088,3642.782,4256.247
MISO_North||SPP_North,MISO_North,SPP_North,6630.551,9615.534,5649.187,8104.985
MISO_North||SPP_South,MISO_North,SPP_South,956.0,956.0,0.0,0.0
MISO_South||SERTP,MISO_South,SERTP,9589.101,11275.503,7076.251,8727.325
MISO_South||SPP_South,MISO_South,SPP_South,2878.163,3190.0,1891.0,1891.0
NYISO||PJM_East,NYISO,PJM_East,5578.606,7607.979,4654.751,6564.407
NorthernGrid_East||NorthernGrid_South,NorthernGrid_East,NorthernGrid_South,2202.182,3257.719,3093.897,3255.56
NorthernGrid_East||NorthernGrid_West,NorthernGrid_East,NorthernGrid_West,9773.615,8180.574,7580.232,6005.423
NorthernGrid_East||WestConnect_North,NorthernGrid_East,WestConnect_North,2545.025,4066.095,1714.518,1709.913
NorthernGrid_South||NorthernGrid_West,NorthernGrid_South,NorthernGrid_West,377.864,486.032,88.019,451.952
NorthernGrid_South||WestConnect_North,NorthernGrid_South,WestConnect_North,2182.847,2106.714,0.0,0.0
NorthernGrid_South||WestConnect_South,NorthernGrid_South,WestConnect_South,6479.074,7996.519,5580.303,6063.021
PJM_East||SERTP,PJM_East,SERTP,10058.768,10045.805,6955.152,6652.076
SPP_North||SPP_South,SPP_North,SPP_South,5762.265,4218.803,4566.62,3970.529
WestConnect_North||WestConnect_South,WestConnect_North,WestConnect_South,806.374,1303.808,610.562,1259.0
